CHECKLIST	ĐÁNH GIÁ	DẪN CHỨNG
Liên kết nội bộ lỗi HTTP (không phải 404)	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: broken_internal_http_error.
Liên kết nội bộ trả 404	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: broken_internal_link.
Canonical trỏ URL đích không indexable	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: canonical_points_to_non_indexable.
Heuristic chênh lệch raw vs rendered	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: cloaking_heuristic.
Rủi ro cloaking (nâng cao: raw vs rendered)	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: cloaking_risk_advanced.
Trang crawl trả HTTP khác 200 / không có HTML	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: crawl_page_non_200.
Google có thể bỏ qua canonical	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: google_may_ignore_canonical.
HTTP không 200 nhưng tín hiệu index còn mở	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: http_status_non_200.
Không index được (indexability)	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: indexability_blocked.
Tín hiệu indexability mâu thuẫn	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: indexability_signal_conflict.
URL khó được index như bản primary	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: page_unlikely_indexed.
Chuỗi redirect dài (nhiều bước)	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: redirect_chain.
Mâu thuẫn meta noindex vs indexability	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: robots_meta_noindex_contradiction.
Robots / meta chặn index	Chưa rõ	Quét kỹ thuật onsite (crawler nội bộ), không phải export Search Console — Loại quét: robots_noindex.
